term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar
(Intercept),-4.246307506168138,0.5842609105136005,-7.267827488981555,3.679825929513853e-13,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.3413608115541815
age[10-20),0.9462708231703565,0.6058363332602316,1.5619248487097495,0.11830887637281993,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.36703766269820237
age[20-30),1.5586377619937728,0.5884251101728867,2.6488294517815962,0.008078384014096407,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.3462441102819738
age[30-40),1.5505336550493263,0.5855696235414571,2.6479065728715208,0.008100468298216269,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.34289178401448384
age[40-50),1.4861815008968506,0.584144607357178,2.544201353874894,0.0109542917705955,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.34122492230447166
age[50-60),1.4349873989928648,0.5837458546921742,2.458239981420638,0.013963676581246986,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.340759222870297
age[60-70),1.602613208346358,0.5835483380084945,2.746324689768938,0.0060277922787880835,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.3405286627924761
age[70-80),1.6671079988768354,0.5834383352226735,2.8573850880754543,0.004272358867366414,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.34040029100740476
age[80-90),1.691848647770449,0.5835674784054934,2.8991482739805177,0.0037425972111333724,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.340551001852546
age[90-100),1.621755752098218,0.5863008468978256,2.7660812033260473,0.00567448736419448,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.3437486830731075
genderMale,0.017914753106618424,0.02073462948935383,0.8640016025276329,0.3875890943975614,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,4.299248600607814e-4
genderUnknown/Invalid,-6.1204976186652855,43.954058487233674,-0.1392476105578047,0.8892547691731654,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,1931.9592574991586
raceAsian,-0.019298108642892272,0.1344614330761462,-0.1435215154367993,0.8858786111235903,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.01807987698489094
raceCaucasian,-0.0017553023994201064,0.026664272960131564,-0.06582974911952917,0.9475135035733384,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,7.109834524924032e-4
raceHispanic,-0.02825550836951063,0.0771526076612941,-0.36622881877893865,0.7141951186546678,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.005952524868937577
raceOther,-0.08572145845342483,0.09130858110372465,-0.9388105413230223,0.3478303061891074,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,0.008337256983175462
time_in_hospital,0.02470520166836206,0.0038330603610521705,6.44529418826593,1.1590191520834419e-10,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,1.4692351731469396e-5
num_lab_procedures,4.2739610963528704e-4,5.567544528004868e-4,0.767656383322083,0.44269317825434973,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,3.099755207131695e-7
num_procedures,-0.027648954315984745,0.006821321884626231,-4.0533132409862445,5.053568366451871e-5,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,4.6530432253680755e-5
num_medications,0.007895064736087675,0.0015521464118783159,5.086546395151946,3.653035008487981e-7,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,2.4091584839067306e-6
number_outpatient,0.0010639613680428098,0.007527337045192399,0.14134631698501485,0.8875966475588499,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,5.666080299192583e-5
number_emergency,0.03722055950690058,0.008504648031708464,4.376496166346756,1.2072500561020687e-5,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,7.232903814324265e-5
number_inpatient,0.27068997964816205,0.006516409986590891,41.539740471390374,0,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,4.24635991133415e-5
diabetesMedYes,0.15736259566034938,0.02590492946315995,6.074619731512439,1.2473087886707397e-9,0,99432.33024387543,99469,2.0113575276461527e-5,0,5,0,6.710653704912926e-4
